deidnum,Gender
60,0
231,0
596,0
823,1
867,0
903,1
1057,1
1150,0
1517,0
1582,1
1643,0
1677,1
1948,1
2081,1
2230,1
2355,1
2368,1
2370,1
2373,1
2386,1
2615,1
2761,0
3032,1
3201,1
3202,0
3243,1
3327,1
3556,1
3576,0
3581,1
3619,0
3712,0
3716,1
3889,0
3900,1
4208,1
4270,0
4640,0
4914,1
5170,1
5249,0
5267,1
5390,1
5704,1
5738,1
5943,0
6130,0
6227,1
6450,1
6460,0
6496,0
6611,1
6618,0
6665,1
6681,0
6690,1
6726,1
6744,1
6827,1
6909,0
6916,1
6991,0
7148,1
7166,1
7272,1
7334,1
7421,1
7447,1
7493,1
7581,0
7685,0
7807,1
7868,0
7880,1
8035,1
8055,0
8211,1
8388,0
8454,1
8788,0
9070,1
9152,0
9220,0
9256,1
9292,1
9362,1
9472,1
9768,0
9773,1
9853,0
9869,0
9971,1
10008,1
10015,1
10043,1
10055,0
10320,0
10324,1
10365,1
10374,0
10600,0
10820,1
10902,0
11139,1
11233,1
11421,0
11613,1
12113,1
12129,1
12132,1
12195,1
12230,0
12262,1
12271,1
12281,1
12529,0
12536,1
12698,0
12746,1
12762,1
12797,1
12848,0
13049,1
13125,1
13205,0
13255,1
13448,1
13781,0
13813,1
13837,1
13931,0
14061,0
14099,0
14117,0
14217,1
14378,0
14959,1
15059,1
15065,1
15135,1
15380,0
15401,1
15557,0
15794,1
15898,0
16108,0
16568,0
16792,1
16875,0
16931,1
16973,1
17123,1
17300,0
17330,1
17356,1
17440,1
17441,0
17544,1
17661,1
17735,1
17769,0
17805,0
17813,1
17898,0
18070,0
18308,1
18482,0
18513,1
18779,0
18964,1
19056,1
19293,0
19317,1
19335,1
19337,1
19553,0
19571,0
19809,0
20015,1
20165,1
20235,1
20471,1
20517,1
20556,0
20630,1
20743,0
20782,1
21077,1
21216,0
21254,1
21479,0
21572,1
21714,1
21865,0
21911,1
21957,1
21967,0
21985,1
22107,1
22305,1
22312,0
22404,0
22425,1
22505,0
22620,1
22714,0
22811,0
22815,0
23001,1
23032,0
23274,1
23315,1
23371,1
23565,1
23953,0
23963,1
23971,0
24046,0
24064,0
24093,0
24270,1
24280,1
24356,1
24364,1
24437,1
24453,1
24779,1
24951,1
25067,1
25135,0
25137,1
25245,1
25350,1
25799,1
25869,0
25874,1
25888,0
26047,1
26071,1
26103,0
26147,1
26264,1
26396,1
26466,1
26584,0
26715,1
27001,1
27165,0
27360,1
27467,1
27510,1
27639,1
27687,0
27759,1
27886,1
27952,0
28040,1
28177,1
28189,0
28306,0
28359,1
28430,0
28567,1
28633,0
28716,1
28801,1
28813,0
28987,1
29001,0
29055,1
29304,1
29420,1
29473,1
29502,1
29572,0
29721,1
29739,0
29741,1
29790,0
29816,1
29962,1
30039,1
30329,1
30399,1
30480,1
30547,0
30637,1
30700,0
30730,0
30741,1
30823,1
31073,1
31106,1
31346,1
31370,0
31497,0
31526,1
31560,1
31593,1
31600,1
31741,1
31857,0
31928,1
31938,1
31971,0
32220,0
32229,0
32267,1
32370,1
32576,0
32845,1
32885,0
32894,1
32942,0
33051,0
33052,0
33126,0
33178,0
33283,1
33366,0
33583,0
33656,1
33770,1
33777,0
33875,1
33972,0
34054,1
34143,0
34157,1
34164,0
34328,0
34431,0
34452,1
34556,1
34677,1
34681,0
34805,0
34855,1
34920,1
34944,1
35009,0
35029,1
35044,0
35236,1
35426,1
35608,1
35657,1
35677,0
35815,1
35969,1
36067,1
36154,0
36281,0
36362,1
36376,1
36388,1
36405,1
36516,1
36605,1
36642,0
36889,0
36953,1
37136,1
37262,1
37384,1
37390,0
37516,0
37672,0
37689,1
37867,1
38165,1
38194,1
38327,0
38397,1
38464,0
38669,1
38786,0
38886,1
38930,1
39074,0
39374,1
39456,0
39476,1
39687,0
39826,1
39837,0
39909,0
40139,1
40256,0
40302,1
40333,1
40355,0
40455,1
40489,1
40612,1
40626,0
40643,1
41188,0
41314,0
41550,1
41589,1
41602,1
41628,1
41702,1
41930,1
41931,1
41943,1
41983,1
42042,1
42123,1
42204,0
42307,0
42426,1
42677,1
42840,0
42846,1
43284,0
43532,1
43595,0
43631,1
43941,0
44016,1
44030,1
44166,1
44202,0
44288,1
44336,0
44375,1
44405,1
44603,1
44604,1
44613,1
44882,1
45068,0
45121,1
45293,1
45318,1
45320,1
45374,1
45431,0
45524,1
45739,1
45821,0
45825,1
45883,1
46021,0
46124,0
46128,1
46177,1
46316,1
46320,1
46321,1
46457,1
46458,0
46499,1
46551,0
46555,1
46582,1
46596,1
46649,1
46753,1
46905,1
47029,1
47039,0
47153,1
47165,1
47240,1
47290,0
47346,1
47368,1
47511,1
47634,1
47911,0
47973,0
47975,1
48083,1
48097,1
48629,1
48662,1
48769,1
48792,0
49112,1
49156,1
49200,1
49283,1
49327,1
49369,0
49425,1
49465,0
49520,0
49606,1
49739,1
49777,1
49901,1
50064,1
50084,1
50105,1
50216,0
50384,0
50593,1
50659,1
50687,0
50700,1
50707,1
50945,1
51071,1
51191,1
51217,0
51266,1
51297,0
51388,1
51426,1
51652,1
51656,0
51742,1
51788,0
51813,1
51832,1
51849,1
51952,1
52067,0
52095,1
52141,0
52157,1
52178,0
52266,1
52274,0
52292,1
52455,0
52460,0
52558,1
52594,1
52707,0
52960,1
52986,1
53030,1
53119,1
53230,1
53272,0
53282,0
53565,0
53970,1
53997,1
54249,1
54428,0
54525,0
54585,0
54622,0
54635,1
54883,1
54916,0
54967,1
55009,1
55087,1
55193,1
55204,1
55297,0
55358,0
55402,0
55805,0
55923,1
55945,1
56185,0
56240,1
56346,1
56444,0
56537,1
56572,0
56738,1
56788,0
56829,0
56844,1
56884,0
56977,1
56992,1
57035,1
57105,0
57179,1
57230,0
57248,0
57378,0
57481,1
57543,1
57593,0
57635,1
57922,0
58068,1
58130,1
58184,1
58189,0
58291,0
58354,0
58360,0
58396,1
58434,1
58555,1
58575,1
58576,1
58584,1
58825,1
58902,1
58988,1
59055,1
59274,1
59317,1
59324,1
59524,1
59550,1
59576,0
59668,1
59832,0
59897,0
59910,0
60039,0
60300,1
60370,1
60389,0
60391,0
60539,1
60629,1
60675,0
60686,0
60753,1
60773,1
60783,1
60827,1
60880,0
61014,0
61047,0
61082,1
61275,1
61316,1
61542,1
61622,1
61623,1
61839,0
61878,1
61899,1
61909,1
62037,1
62449,0
62544,1
62652,1
62670,0
62731,1
62804,0
62856,1
62882,1
62910,1
62956,0
62989,1
63057,1
63099,0
63170,0
63222,1
63246,0
63314,0
63459,0
63727,1
63737,1
63748,0
63858,1
63909,1
63992,1
64093,1
64122,1
64184,1
64257,1
64259,0
64730,1
64742,1
64770,1
64917,1
65202,1
65216,1
65260,1
65355,0
65454,0
65501,1
65525,1
65667,1
65791,1
65831,1
65946,1
66002,1
66025,0
66126,1
66436,0
66509,0
66709,1
66712,0
66721,1
66843,0
67084,0
67151,1
67460,1
67464,1
67518,0
67554,0
67579,1
67631,0
67896,0
68089,1
68285,0
68294,1
68422,1
68488,1
68503,0
68559,1
68722,1
68795,1
69136,0
69212,1
69234,1
69257,1
69370,1
69499,1
69584,1
69644,1
69784,0
69916,1
69961,1
70044,0
70135,0
70358,1
70555,0
70845,1
71089,1
71296,1
71465,1
71708,0
71879,1
71883,0
72049,0
72051,1
72144,1
72184,1
72290,1
72318,1
72490,1
72532,0
72578,0
72703,0
72728,1
72768,1
72776,1
72817,1
72820,0
72938,1
72958,1
73010,0
73059,1
73071,1
73335,1
73522,0
73651,1
73729,0
73730,1
73748,0
73780,1
73878,1
74014,1
74032,1
74072,0
74523,0
74659,1
74843,1
74940,1
74968,1
75294,1
75467,0
75518,0
75607,0
75668,1
75794,0
75827,1
75871,0
75883,1
75941,0
75978,1
76125,1
76237,1
76262,1
76370,1
76413,0
76469,1
76502,1
76527,1
76811,0
76812,1
76828,0
76860,0
77810,1
77933,1
77958,1
77978,1
78049,0
78076,1
78168,0
78301,1
78316,0
78333,1
78336,0
78494,1
78692,1
78796,1
79062,1
79126,1
79217,0
79255,1
79293,0
79301,1
79373,0
79416,1
79555,1
79564,1
79674,1
79687,0
79696,1
79718,0
79726,0
79809,1
79877,1
79911,0
80085,1
80349,0
80350,1
80356,1
80381,1
80386,0
80504,0
80649,0
80664,1
80680,0
80713,0
80865,1
80925,1
80992,0
81024,1
81096,0
81174,0
81218,1
81281,0
81296,1
81383,1
81579,0
81707,0
81765,0
81947,1
82157,1
82190,1
82273,1
82281,1
82288,1
82411,1
82465,1
82480,1
82503,1
82641,0
82663,0
82682,0
82764,0
82866,1
82934,1
82950,1
83231,1
83373,1
83403,0
83735,0
83781,1
83846,1
84001,1
84015,1
84090,1
84143,0
84146,1
84277,0
84384,0
84492,0
84495,0
84556,0
84656,1
84696,0
84763,1
84958,1
85094,1
85130,1
85352,0
85402,0
85587,0
85666,1
86190,0
86278,1
86353,1
86399,1
86405,1
86504,1
86546,0
86572,0
86653,0
86702,1
86739,1
86859,1
87009,1
87024,1
87032,1
87039,1
87053,0
87059,1
87093,0
87142,1
87184,0
87576,1
87704,0
87749,1
87766,1
87774,1
87950,1
88010,0
88053,0
88055,1
88183,1
88234,1
88266,0
88281,1
88452,1
88505,1
88593,1
88672,1
88933,1
88934,0
88963,1
89076,1
89198,1
89211,1
89276,1
89447,0
89507,1
89537,1
89564,1
89644,0
89830,0
89840,1
89915,1
89993,1
90024,0
90125,0
90162,1
90169,0
90333,1
90348,1
90358,0
90417,0
90562,1
90828,0
90843,1
90951,1
90963,0
90987,1
91033,0
91091,0
91131,1
91190,1
91217,1
91270,1
91480,1
91488,0
91490,1
91546,1
91566,1
92012,1
92234,1
92262,1
92472,1
92526,0
92599,0
92878,1
92904,1
93019,1
93047,0
93109,0
93172,1
93284,0
93483,1
93499,1
93570,1
93665,0
93667,0
93712,0
93906,0
93989,0
94028,1
94275,1
94322,0
94328,0
94363,1
94366,1
94495,1
94608,1
94624,0
94897,0
94911,1
94930,0
94959,1
94960,1
94982,0
95296,1
95355,0
95411,1
95425,0
95466,0
95565,1
95608,1
95683,0
95734,1
95757,1
95766,1
95835,1
95906,1
95957,0
95987,0
96039,1
96057,1
96102,1
96113,0
96207,1
96283,0
96339,1
96419,1
96865,0
97230,1
97247,0
97254,1
97336,1
97374,0
97376,1
97387,1
97424,1
97475,0
97621,1
97659,1
97724,1
98004,1
98109,0
98117,0
98143,0
98148,1
98347,1
98358,1
98424,1
98429,0
98508,0
98545,0
98646,1
98688,1
98807,0
98874,1
99021,1
99029,0
99093,1
99200,1
99258,1
99325,0
99395,1
99413,1
99444,1
99473,0
99550,1
99866,0